,day,process,process_id,father,father_id,uid,ocurrences
4126,8,ps,24677,monitoramento-d,24676,0,1
4127,8,monitoramento-V,24826,monitoramento-V,1279,0,1
4128,8,ps,24859,monitoramento-z,24858,0,1
4129,8,ps,24915,monitoramento-d,24914,0,1
4130,8,pidof,25017,monitoramento-V,1278,0,1
4131,8,VMSVGA FIFO,1230,nspr-2,1215,0,2
4132,8,ps,25065,monitoramento-d,25062,0,1
4133,8,pidof,25216,monitoramento-V,1279,0,1
4134,8,VBoxManage,24366,workload.sh,1281,0,6
4135,8,ps,25238,monitoramento-d,25235,0,1
4136,8,ps,25342,monitoramento-z,25341,0,1
4137,8,ps,25529,monitoramento-z,25528,0,1
4138,8,ps,25645,monitoramento-d,25641,0,1
4139,8,monitoramento-n,25713,monitoramento-n,1277,0,1
4140,8,ps,25728,monitoramento-z,25727,0,1
4141,8,ps,25837,monitoramento-d,25836,0,1
4142,8,ps,26070,monitoramento-d,26068,0,1
4143,8,monitoramento-m,26086,monitoramento-m,1275,0,1
4144,8,ps,26283,monitoramento-z,26282,0,1
4145,8,ps,26444,monitoramento-z,26443,0,1
4146,8,pidof,26635,monitoramento-V,1280,0,1
4147,8,wpa_supplicant,387,systemd,1,0,1
4148,8,ps,26846,monitoramento-d,26844,0,1
4149,8,pidof,27146,monitoramento-V,1278,0,1
4150,8,monitoramento-c,27165,monitoramento-c,27164,0,1
4151,8,ps,27155,monitoramento-z,27154,0,1
4152,8,pidof,27318,monitoramento-V,1278,0,1
4153,8,ps,27361,monitoramento-z,27360,0,2
4154,8,ps,27511,monitoramento-z,27510,0,1
4155,8,ps,27700,monitoramento-z,27699,0,1
4156,8,ifconfig,27873,monitoramento-n,27870,0,1
4157,8,df,27868,monitoramento-d,27865,0,1
4158,8,pidof,27863,monitoramento-V,1278,0,1
4159,8,nspr-2,1215,systemd,1,0,1
4160,8,pidof,28214,monitoramento-V,1279,0,1
4161,8,ps,28929,monitoramento-d,28928,0,1
4162,8,monitoramento-c,1273,bash,1263,0,1
4163,8,ps,29059,monitoramento-z,29058,0,1
4164,8,VBoxManage,28204,workload.sh,1281,0,6
4165,8,pidof,29138,monitoramento-V,1279,0,1
4166,8,ps,29158,monitoramento-d,29157,0,2
4167,8,ps,29280,monitoramento-z,29277,0,1
4168,8,ps,29345,monitoramento-d,29344,0,1
4169,8,pidof,29483,monitoramento-V,1280,0,1
4170,8,ps,29487,monitoramento-z,29486,0,1
4171,8,ps,29636,monitoramento-z,29635,0,1
4172,8,ps,29820,monitoramento-z,29819,0,1
